Course_Module,Level_Required,XP_Points_Earned,Course
"L07: Proximity Matrix Computations: Minkowski, Cosine, and Jaccard Dissimilarity Layouts",Level 2,55,Data_Mining_Forecasting
"L08: Pearson Product-Moment Correlation Matrix Covariance Normalization Mechanics",Level 3,50,Data_Mining_Forecasting
"L09: Spearman Rank and Kendall’s Tau Non-Linear Correlation Coefficient Rankers",Level 3,55,Data_Mining_Forecasting
"L10: One-Hot, Binary, and Target Categorical Inversion Encoding Architectures",Level 3,60,Data_Mining_Forecasting
"L11: Principal Component Analysis (PCA) SVD Subspace Reconstruction Variance Retention",Level 4,70,Data_Mining_Forecasting
"L12: Ordinary Least Squares (OLS) Univariate Cost-Function Gradient Calculations",Level 4,65,Data_Mining_Forecasting
"L13: Multiple Linear Regression Closed-Form Matrix Solving via Pseudoinverses",Level 4,75,Data_Mining_Forecasting
"L14: Information Gain, Entropy, and Gini Impurity Mathematical Minimizers for Decision Splits",Level 5,55,Data_Mining_Forecasting
"L15: Recursive Binary Partitioning Tree Compilers from Scratch in NumPy",Level 5,65,Data_Mining_Forecasting
"L16: Cost-Complexity Tree Pruning Algorithms via Alpha-Parameter Tuning Matrix States",Level 5,70,Data_Mining_Forecasting
"L17: CART Classification and Regression Tree Leaf Node Optimization Criteria",Level 5,75,Data_Mining_Forecasting
"L18: Bootstrap Aggregation (Bagging) Mechanics & Out-of-Bag (OOB) Error Estimation Math",Level 6,45,Data_Mining_Forecasting
"L19: Random Forest Classifier Feature Subspace Subsampling Randomization Engines",Level 6,55,Data_Mining_Forecasting
"L20: K-Nearest Neighbor Brute-Force Vectorized Distance Sorting Pipelines",Level 6,50,Data_Mining_Forecasting
"L21: Spatial Indexing Optimizations for KNN: KD-Trees and Ball-Trees Ball Traversals",Level 6,60,Data_Mining_Forecasting
"L22: MAP (Maximum A Posteriori) Classification & Gaussian Naive Bayes Log-Likelihood Arrays",Level 7,70,Data_Mining_Forecasting
"L23: Logistic Regression Sigmoid Cross-Entropy Loss Derivative Formulations",Level 7,75,Data_Mining_Forecasting
"L24: Newton-Raphson Optimization Algorithms for Log-Likelihood Maximization",Level 7,85,Data_Mining_Forecasting
"L25: Regularized Logistic Regression: Analytical L1/L2 Weight Penalty Matrix Updates",Level 7,90,Data_Mining_Forecasting
"L26: Support Vector Machine (SVM) Soft-Margin Primal Convex Optimization Problems",Level 8,80,Data_Mining_Forecasting
"L27: Dual SVM Lagrange Multipliers & Mercer Kernel Space Coordinate Layouts",Level 8,95,Data_Mining_Forecasting
"L28: Fisher’s Linear Discriminant Analysis (LDA) Discriminant Functions Matrix Equations",Level 8,85,Data_Mining_Forecasting
"L29: Quadratic Discriminant Analysis (QDA) Non-Equal Covariance Hyper-Surfaces",Level 8,90,Data_Mining_Forecasting
"L30: Apriori Frequent Itemset Generation: Support, Confidence, and Lift Pruning Matrices",Level 9,80,Data_Mining_Forecasting
"L31: Bitwise Array Transformations for Accelerated Transaction Database Scans",Level 9,85,Data_Mining_Forecasting
"L32: FP-Growth Frequent Pattern Prefix-Tree Dynamic Construction Mechanics",Level 9,95,Data_Mining_Forecasting
"L33: Conditional FP-Tree Recursive Mining Engines from First Principles",Level 9,105,Data_Mining_Forecasting
"L34: K-Means Vector Quantization Distortion & Convergence Bound Proofs",Level 10,90,Data_Mining_Forecasting
"L35: Vectorized K-Medoids Partitioning around Medoids (PAM) Swap Implementations",Level 10,95,Data_Mining_Forecasting
"L36: Agglomerative Hierarchical Clustering Proximity Traversal Layouts",Level 10,100,Data_Mining_Forecasting
"L37: Single-Linkage Hierarchical Clustering Minimal Spanning Tree Conversions",Level 10,105,Data_Mining_Forecasting
"L38: Complete-Linkage Hierarchical Clustering Diametric Subspace Pruning",Level 10,110,Data_Mining_Forecasting
"L39: Average-Linkage and Ward’s Minimum Variance Geometric Distance Merges",Level 11,115,Data_Mining_Forecasting
"L40: Cophenetic Correlation Coefficient Calculations for Hierarchical Tree Evaluation",Level 11,120,Data_Mining_Forecasting
"L41: DBScan Density-Based Spatial Clustering Core, Border, and Noise Allocations",Level 11,125,Data_Mining_Forecasting
"L42: Classical Time-Series Decomposition: Additive and Multiplicative Trend/Seasonality Filters",Level 12,110,Data_Mining_Forecasting
"L43: Autocorrelation (ACF) and Partial Autocorrelation (PACF) Mathematical Convolutions",Level 12,120,Data_Mining_Forecasting
"L44: Stationary Time Series Criteria: Dickey-Fuller & Augmented Dickey-Fuller (ADF) Matrix Roots",Level 12,130,Data_Mining_Forecasting
"L45: Backshift Operator Notations and Polynomial Difference Equations",Level 12,115,Data_Mining_Forecasting
"L46: Autoregressive (AR) Yule-Walker Matrix Equation Systems & Parameter Fitting",Level 12,135,Data_Mining_Forecasting
"L47: Moving Average (MA) Error Term Stochastic Process Inversion Algorithms",Level 12,135,Data_Mining_Forecasting
"L48: ARIMA Integrated Non-Seasonal Process State-Space Modelers via Statsmodels",Level 12,145,Data_Mining_Forecasting
"L49: Akaike Information Criterion (AIC) and Bayesian Information Criterion (BIC) Order Selectors",Level 12,130,Data_Mining_Forecasting
"L50: Simple Exponential Smoothing (SES) Recursive Weighting Convolution Formulations",Level 12,125,Data_Mining_Forecasting
"L51: Holt-Winters Double and Triple Exponential Smoothing Multiplicative Forecast Systems",Level 12,140,Data_Mining_Forecasting
"L52: Vector Autoregression (VAR) Interdependent Multivariate Time-Series Production Engines",Level 12,150,Data_Mining_Forecasting
"CAT: Mid-Term Statistical Classification & Pattern Mining Optimization Sprint",Level 6,500,Data_Mining_Forecasting
"DA: High-Dimensional Time-Series Pipeline Decomposition & Autoregressive Forecasting System",Level 12,800,Data_Mining_Forecasting
"L01: Vectorized Forecast Error Architectures: Analytical Implementations of MSE, RMSE, MAE, and MAPE Profiles",Level 1,30,Advanced_Forecasting
"L02: Derivation and Computation of Prediction Intervals vs Frequentist Confidence Intervals in High-Dimensional Streams",Level 1,35,Advanced_Forecasting
"L03: Parametric Least-Squares Linear and Non-Linear Trend Measurement Mathematical Modeling",Level 2,40,Advanced_Forecasting
"L04: Single Exponential Smoothing Recursive Filtering Weight Algorithms from First Principles",Level 2,45,Advanced_Forecasting
"L05: Holt’s Linear Exponential Smoothing Equations: Dynamic Level and Trend Tracking Models",Level 3,50,Advanced_Forecasting
"L06: Classical Time-Series Convolution Matrix Decompositions: Additive vs Multiplicative Geometric Inverses",Level 3,55,Advanced_Forecasting
"L07: Strict Stochastic Stationarity Boundary Audits via Unit Root Augmented Dickey-Fuller Formulations",Level 3,60,Advanced_Forecasting
"L08: Classical Linear Regression Ordinary Least Squares (OLS) Foundational Convex Assumptions",Level 4,50,Advanced_Forecasting
"L09: Univariate Descriptive Regression Mapping and Error Sum of Squares Tensor Formulations",Level 4,55,Advanced_Forecasting
"L10: Inferential Analysis of Slopes: Two-Tailed T-Distribution Hypothesis Testing for Beta Coefficients",Level 4,65,Advanced_Forecasting
"L11: Model Significance Testing: Analysis of Variance (ANOVA) F-Ratio Derivative Target Engines",Level 4,70,Advanced_Forecasting
"L12: General Cross-Validation Estimation of Prediction Errors to Mitigate Structural Overfitting Traps",Level 5,60,Advanced_Forecasting
"L13: Coefficient of Determination (R-Squared) Decomposition Algebra and Maximization Analysis",Level 5,55,Advanced_Forecasting
"L14: Degrees-of-Freedom Adjustments for Multi-Feature R-Squared Loss Degradation Vectors",Level 5,65,Advanced_Forecasting
"L15: Leverage Score Metrics, Cook's Distance Outlier Diagnoses, and Influence Matrix Constraints",Level 5,75,Advanced_Forecasting
"L16: Non-Parametric Shapiro-Wilk and Jarque-Bera Residual Normality Diagnostic Test Compilers",Level 5,70,Advanced_Forecasting
"L17: Design and Execution of Multi-Variable Matrix Regression Models with Vectorized Partial Derivatives",Level 6,65,Advanced_Forecasting
"L18: Simultaneous Confidence Interval Inferences for Multiple Covariate Elasticity Slopes",Level 6,70,Advanced_Forecasting
"L19: Gauss-Markov Theorem Mathematical Proofs: Deriving the Best Linear Unbiased Estimator (BLUE) Space",Level 6,85,Advanced_Forecasting
"L20: Partial F-Test Matrix Nested Model Comparisons for Parsimonious Feature Pruning",Level 6,80,Advanced_Forecasting
"L21: Exact Multicollinearity Determinants: Ill-Conditioned Design Matrices and Singular Value Drops",Level 7,75,Advanced_Forecasting
"L22: Variance Inflation Factor (VIF) Inverse Correlation Matrix Diagnostics and Threshold Systems",Level 7,80,Advanced_Forecasting
"L23: Remedial Shrinkage Regressions: L2 Regularized Ridge Operator Matrix Inversion Defenses",Level 7,90,Advanced_Forecasting
"L24: Heteroscedasticity Identification: Breusch-Pagan and White Mathematical Residual Variance Solvers",Level 7,85,Advanced_Forecasting
"L25: Heteroscedasticity Defenses: Weighted Least Squares (WLS) Analytical Covariance Scaling Matrices",Level 7,95,Advanced_Forecasting
"L26: Stochastic Autocorrelation Mapping: Vectorized Lagged Residual Covariance Computations",Level 8,75,Advanced_Forecasting
"L27: First-Order Serial Dependency Verification via Durbin-Watson Matrix Ratio Bounds Test Rules",Level 8,85,Advanced_Forecasting
"L28: Higher-Order Autoregressive Residual Testing via Breusch-Godfrey LM Optimization Models",Level 8,90,Advanced_Forecasting
"L29: First-Order Autoregressive AR(1) Time-Series Process Parameter Estimation Algorithms",Level 9,85,Advanced_Forecasting
"L30: Second-Order Autoregressive AR(2) Stochastic Inversion Models and Characteristic Polynomial Roots",Level 9,95,Advanced_Forecasting
"L31: Mathematical Relationship Boundaries Linking Durbin-Watson Statistics directly to Serial Coefficients",Level 9,90,Advanced_Forecasting
"L32: Curvilinear and Polynomial Map Formulations for Multi-Dimensional Matrix Structural Transformations",Level 9,80,Advanced_Forecasting
"L33: Out-of-Sample Predictive Power Audits: Symmetrical Data Splitting Validation Strategies",Level 10,75,Advanced_Forecasting
"L34: Predicted Residual Error Sum of Squares (PRESS) Statistical Calculation Automation Modules",Level 10,95,Advanced_Forecasting
"L35: Variance Stabilizing Projections via Box-Cox Maximum Likelihood Lambda Grid Search Engines",Level 10,100,Advanced_Forecasting
"L36: Analytical Information Criteria: Akaike Information Criterion (AIC) Structural Penalty Calculators",Level 11,85,Advanced_Forecasting
"L37: Schwarz Bayesian Information Criterion (BIC) Log-Sample Size Penalty Parameter Optimization Sets",Level 11,90,Advanced_Forecasting
"L38: Mallows’ Cp Standardized Mean Square Error Optimizers for Feature Space Selection Matrix Arrays",Level 11,95,Advanced_Forecasting
"L39: Model Misspecification Analysis: Omitted Variable Bias and Irrelevant Feature Inflation Traps",Level 11,105,Advanced_Forecasting
"L40: Generalized Linear Models (GLM) Foundations: Exponential Family Distribution Vector Forms",Level 12,110,Advanced_Forecasting
"L41: Monotonic Link Function Formulations: Canonical Link Derivations for Gaussian, Binomial, and Poisson Systems",Level 12,120,Advanced_Forecasting
"L42: Iteratively Reweighted Least Squares (IRLS) Optimization Algorithms for Maximum Likelihood Parameters",Level 12,135,Advanced_Forecasting
"L43: GLM Inference Operators: Wald Tests, Score Tests, and Likelihood Ratio Deviance Decompositions",Level 12,125,Advanced_Forecasting
"L44: Residual Analytics for Non-Linear Mappings: Anscombe and Pearson Standardized Target Profiles",Level 12,115,Advanced_Forecasting
"L45: Mathematical Diagnosis of Overdispersion Anomalies via Negative Binomial Iterative Relaxations",Level 12,130,Advanced_Forecasting
"L46: Vectorized Logit Link Inversions and Maximum Likelihood Binary Logistic Regression Engines",Level 12,140,Advanced_Forecasting
"CAT: Mid-Term Regression Diagnostics, Model Selection & Residual Analysis Marathon",Level 6,500,Advanced_Forecasting
"DA: Complete GLM Autoregressive Production Pipeline & Box-Cox Time-Series Forecasting System",Level 12,800,Advanced_Forecasting
"L01: Empirical vs Theoretical Data Generation: Simulating Population Parameters and Sample Statistics via Vectorized NumPy Engines",Level 1,30,Statistical_Inference
"L02: Asymptotic Consistency and Invariance Testing of Estimators using Multi-Scale Sample Size Loops",Level 1,35,Statistical_Inference
"L03: Bias-Variance Decomposition Mathematical Formulations and Mean Squared Error (MSE) Surface Optimizers",Level 1,40,Statistical_Inference
"L04: Fisher Information Matrix Computations and Analytical Cramér-Rao Lower Bound Constraint Builders",Level 1,45,Statistical_Inference
"L05: Relative Efficiency Audits of Completeness and Minimum Variance Bounds across Competing Estimator Systems",Level 2,45,Statistical_Inference
"L06: Sufficiency Metrics and Neyman-Factorization Theorem Matrix Inversion Proofs from Scratch",Level 2,50,Statistical_Inference
"L07: Minimum Variance Unbiased Estimator (MVUE) Formulations via Rao-Blackwellization Conditioning Functions",Level 2,55,Statistical_Inference
"L08: Maximum Likelihood Estimation (MLE) Log-Likelihood Continuous Cost Functions and Gradient Evaluators",Level 3,55,Statistical_Inference
"L09: Multi-Dimensional Parameter MLE Optimization Solvers via SciPy Optimize L-BFGS-B Backends",Level 3,60,Statistical_Inference
"L10: Profile Likelihood Ratio Constraint Frameworks for Parameter Identifiability Analysis",Level 3,65,Statistical_Inference
"L11: Method of Moments vs MLE Estimator Parameter Discrepancy Audits for Non-Standard Distributions",Level 4,60,Statistical_Inference
"L12: Gauss-Markov Classical Linear Regression Parameter Closures via Least-Squares Minimization Matrices",Level 4,65,Statistical_Inference
"L13: Multi-Dimensional Confidence Interval Pivoting and Frequentist Variance Coverage Simulation Iterators",Level 5,55,Statistical_Inference
"L14: Non-Parametric Studentized Bootstrap Confidence Interval Resampling Frameworks from First Principles",Level 5,65,Statistical_Inference
"L15: Exact Wald-Interval Formulations for Population Proportions with Continuity Correction Adjustments",Level 5,70,Statistical_Inference
"L16: Iterative Sample Size Determinations based on Strict Statistical Power and Effect-Size Margin Targets",Level 5,75,Statistical_Inference
"L17: Frequentist Neyman-Pearson Neyman Bounds: Simulating Type I (Alpha) and Type II (Beta) Error Vector Spaces",Level 6,45,Statistical_Inference
"L18: Statistical Power Curve Compilers and ROC Area Formulations as a Function of Sample Count Metrics",Level 6,55,Statistical_Inference
"L19: Neyman-Pearson Lemma Likelihood Ratio Test (LRT) Optimizations for Simple vs Simple Hypotheses",Level 6,65,Statistical_Inference
"L20: Monotone Likelihood Ratios (MLR) and Uniformly Most Powerful (UMP) Test Space Decision Boundaries",Level 6,70,Statistical_Inference
"L21: Large Sample Two-Tailed Z-Tests for Population Mean Convergence via Central Limit Theorem Models",Level 7,70,Statistical_Inference
"L22: Large Sample Difference of Means Inference Solvers over Heterogeneous Vector Stream Matrices",Level 7,75,Statistical_Inference
"L23: Large Sample Population Proportion Z-Test Verification Arrays using Gaussian Approximation Tools",Level 7,85,Statistical_Inference
"L24: Small Sample Student's T-Test Solvers under Unknown Population Variance Conditions",Level 8,75,Statistical_Inference
"L25: Independent Two-Sample T-Tests with Pooled vs Welch-Satterthwaite Degrees-of-Freedom Calculations",Level 8,85,Statistical_Inference
"L26: Dependent Paired-Sample T-Tests for Before-and-After Engineering Pipeline Feature Transformations",Level 8,90,Statistical_Inference
"L27: Snedecor's F-Test Variance-Ratio Probability Density Optimizers for Multi-Sample Variance Constraints",Level 8,95,Statistical_Inference
"L28: Pearson's Chi-Square Goodness-of-Fit Test Engines over Categorical Multinomial Model Alignments",Level 9,80,Statistical_Inference
"L29: Multi-Dimensional Contingency Table Independence Chi-Square Matrices & Cramér's V Effect Size Analytics",Level 9,90,Statistical_Inference
"L30: Exact Multi-Sample Variance Scale Hypotheses Testing using Chi-Square Distribution Surfaces",Level 9,95,Statistical_Inference
"L31: Wald Hypothesis Testing for Causal Correlation Matrix Coefficients via Fisher Z-Transformations",Level 10,85,Statistical_Inference
"L32: Multiple Linear Regression Partial T-Statistic Inference Loops over Beta Coefficient Vectors",Level 10,95,Statistical_Inference
"L33: Non-Parametric Single-Sample Sign-Test Pipelines for Median Location Parameter Inferences",Level 11,80,Statistical_Inference
"L34: Wilcoxon Signed-Rank Sum Algorithms for Matched-Pair Dependent Ordinal Array Measurements",Level 11,90,Statistical_Inference
"L35: Mood's Median Matrix Subspace Multi-Class Partitioning and Non-Parametric Homogeneity Checks",Level 11,95,Statistical_Inference
"L36: Mann-Whitney U Test Stochastic Dominance Ranking Systems for Independent Group Comparison",Level 11,105,Statistical_Inference
"L37: Wald-Wolfowitz Runs Test Network Automations for Direct Sequence Randomness Trend Testing",Level 12,110,Statistical_Inference
"L38: Two-Sample Kolmogorov-Smirnov (KS) Empirical Continuous Cumulative Distribution Maximum Distance Solvers",Level 12,130,Statistical_Inference
"L39: Kruskal-Wallis Non-Parametric Multi-Group One-Way Analysis of Variance Rank Extractor Compilers",Level 12,125,Statistical_Inference
"CAT: Mid-Term Parametric Estimation, Maximum Likelihood Optimization & Hypothesis Testing Assessment",Level 6,500,Statistical_Inference
"DA: Complete End-to-End Non-Parametric Subspace Validation & Automated Statistical Inference Engine Pipeline",Level 12,800,Statistical_Inference
"L01: Evolution of Storage Architectures: From Flat Files to Relational Engines and Data Lakehouses",Level 1,30,Database_Systems
"L02: Three-Schema Database Abstraction: Physical, Conceptual, and External Mapping Inverses",Level 1,35,Database_Systems
"L03: Data Definition Language (DDL) and Data Manipulation Language (DML) Compiler Parsing Mechanics",Level 1,40,Database_Systems
"L04: Entity-Relationship (ER) Graph Models: Strong vs Weak Entity Set Geometric Structural Mappings",Level 2,45,Database_Systems
"L05: Cardinality and Participation Structural Constraints: Formulating Min-Max Bounds in Subspace Schemas",Level 2,45,Database_Systems
"L06: Ternary and N-ary Relationship Degree Decompositions and Degree Resolution Arrays",Level 2,50,Database_Systems
"L07: Enhanced ER (EER) Modeling: Class-Subclass Specialization and Generalization Disjointness Constraints",Level 3,50,Database_Systems
"L08: EER Category Union and Aggregation Topologies for Complex Attribute Polymorphism",Level 3,55,Database_Systems
"L09: Algorithmic Transformation of ER and EER Graphic Schemas into Normalized Relational Relations",Level 3,60,Database_Systems
"L10: Relational Model Integrity Constraints: Domain, Entity, and Referential Foreign Key Invariants",Level 4,55,Database_Systems
"L11: Relational Algebra (RA) Foundational Operators: Selection Filter and Projection Column Scopes",Level 4,60,Database_Systems
"L12: Set-Theoretic Relational Operations: Cartesian Products, Intersections, and Set Difference Engines",Level 4,60,Database_Systems
"L13: Relational Algebra Join Mechanics: Theta-Joins, Equi-Joins, and Natural Join Outer Transformations",Level 4,70,Database_Systems
"L14: Advanced Relational Operators: Formal Database Division and Universal Quantifier Emulations",Level 4,75,Database_Systems
"L15: Mathematical Verification of Complex Relational Algebra Expressions for Target Schema Optimization",Level 5,65,Database_Systems
"L16: First-Order Predicate Calculus: Tuple Relational Calculus (TRC) Well-Formed Formula (WFF) Evaluation",Level 5,75,Database_Systems
"L17: Domain Relational Calculus (DRC) Variable Mappings and Safe Expression Constraint Checks",Level 5,80,Database_Systems
"L18: Production SQL Schema Definition: Compiling DDL Tables with Exact Domain and Check Constraints",Level 5,60,Database_Systems
"L19: High-Performance DML Operations: Multi-Row Inserts, Positional Updates, and Cascading Deletes",Level 5,65,Database_Systems
"L20: Basic Declarative SQL Query Pipelines: Filtering using Multi-Valued Logical Connective Operators",Level 6,45,Database_Systems
"L21: Schema Mutation Engines: Altering Table Constraints, Modifying Column Types, and Catalog Cascades",Level 6,55,Database_Systems
"L22: Metadata Ingestion: Querying System Catalog Tables and Information Schemas for DB Introspection",Level 6,50,Database_Systems
"L23: Aggregate Inbuilt Functions: Computing Group Math over Partitioned Matrix Row Blocks",Level 6,55,Database_Systems
"L24: Single-Row Vectorized Manipulations: Character String Transformations and Regular Expression Matches",Level 6,60,Database_Systems
"L25: Temporal Data Operations: Timezone-Aware Date Arithmetic, Inter-Interval Parsing, and Conversions",Level 6,65,Database_Systems
"L26: Multi-Set Operations: UNION ALL, INTERSECT, and EXCEPT Declarative Data Pipelines",Level 7,70,Database_Systems
"L27: Relational Join Performance Tuning: Hash Joins, Nested Loops, and Sort-Merge Query Execution Plans",Level 7,85,Database_Systems
"L28: Subquery Declarative Formulations: Correlated vs Uncorrelated Nested Query Optimization Sweeps",Level 7,80,Database_Systems
"L29: Informal Design Guidelines for Relation Attributes: Minimizing Redundancies and Null Anomalies",Level 8,70,Database_Systems
"L30: Functional Dependency (FD) Matrix Identification and Superkey/Candidate Key Mathematical Discovery",Level 8,75,Database_Systems
"L31: Inference Rules for Functional Dependencies: Formal Algebraic Proofs using Armstrong's Axioms",Level 8,85,Database_Systems
"L32: Computing Closure Sets of Functional Dependencies ($F^+$) via Recursive Matrix Closure Algorithms",Level 8,90,Database_Systems
"L33: Redundant Dependency Pruning: Computing the Minimal Cover (Canonical Cover) of FD Sets",Level 8,95,Database_Systems
"L34: Normalization Algorithms: First (1NF), Second (2NF), and Third (3NF) Normal Form Decomposition Models",Level 9,90,Database_Systems
"L35: Boyce-Codd Normal Form (BCNF) Structural Criteria & Lossless-Join Decomposition Verification",Level 9,105,Database_Systems
"L36: Dependency Preservation Audits for BCNF/3NF Multi-Table Subspace Partition Schemas",Level 9,100,Database_Systems
"L37: Advanced Normalization Boundaries: Multi-Valued Dependencies (4NF) and Join Dependencies (5NF)",Level 9,115,Database_Systems
"L38: Database Storage Hardware Profiles: Block Size Optimization, Page Layouts, and Slotted Page Records",Level 10,75,Database_Systems
"L39: Sequential File Operations: Heap Files, Ordered Files, and Primary Block Space Allocations",Level 10,85,Database_Systems
"L40: Direct File Addressing: Static vs Dynamic Extendible Hashing Directory Space Formulations",Level 10,95,Database_Systems
"L41: Indexing Topologies: Dense vs Sparse Primary, Secondary, and Clustering Index Pointer Maps",Level 10,100,Database_Systems
"L42: Multi-Level Search Tree Indexing: Balanced B+ Tree Node-Splitting, Inversion, and Merge Mechanics",Level 11,115,Database_Systems
"L43: Relational Query Processing Cost Formulations: Cost Estimation of Selection and Join Disk I/Os",Level 11,110,Database_Systems
"L44: Database Performance Tuning: Statistics Generation, Index Selection, and Database Vacuuming",Level 11,120,Database_Systems
"L45: Transaction State Machines: Mathematical Modeling of ACID Properties and Execution Lifecycles",Level 12,110,Database_Systems
"L46: Conflict Serializability Tracking: Generating and Pruning Precedence (Serialization) Directed Graphs",Level 12,130,Database_Systems
"L47: View Serializability Criteria and Blind Write Operation Equivalence Verification Controls",Level 12,125,Database_Systems
"L48: Lock-Based Concurrency Control: Two-Phase Locking (2PL), Strict 2PL, and Rigorous 2PL Proofs",Level 12,135,Database_Systems
"L49: Deadlock Handling Mechanics: Wait-For Graphs, Deadlock Detection, and Wound-Wait/Wait-Die Schemes",Level 12,130,Database_Systems
"L50: Timestamp-Based Concurrency Control: Thomas’ Write Rule and Timestamp Ordering Serializations",Level 12,140,Database_Systems
"L51: Granularity of Data Items: Multiple-Granularity Locking Matrices and Intent Lock (IS/IX) Routing",Level 12,135,Database_Systems
"L52: Log-Based Recovery Architectures: Deferred vs Immediate Database Modification WAL Protocols",Level 12,140,Database_Systems
"L53: ARIES Recovery Algorithm: Analysis, Redo (Physiological Logging), and Undo Idempotent Passes",Level 12,150,Database_Systems
"L54: Database Security Profiles: Discretionary Access Control (DAC) via SQL GRANT/REVOKE Matrix Maps",Level 12,115,Database_Systems
"CAT: Mid-Term Relational Calculus, Schema Normalization & Query Execution Plan Assessment",Level 6,500,Database_Systems
"DA: Complete High-Throughput Normalized SQL Database Engine Optimization & B+ Tree Tuning Pipeline",Level 12,800,Database_Systems
"L01: NumPy N-Dimensional Array Memory Architecture: Strides, Contiguity, and C vs Fortran Memory Formats",Level 1,30,Python_Data_Science
"L02: Non-Copy View Mutations vs Explicit Deep Memory Allocations during Vector Arrays Reshaping",Level 1,35,Python_Data_Science
"L03: High-Dimensional Boolean Masking, Fancy Indexing, and Coordinate Selection Matrix Operations",Level 1,40,Python_Data_Science
"L04: Vectorized Broadcasting Mathematical Rules and In-Memory Dimensional Extension Layouts",Level 1,45,Python_Data_Science
"L05: Universal Functions (Ufuncs) Compilation and Accelerated Element-Wise Array Transformations",Level 1,45,Python_Data_Science
"L06: Linear and Cubic Spline Data Interpolation Mechanics via SciPy Interpolate Profiles",Level 2,50,Python_Data_Science
"L07: Object-Oriented Canvas Architectures: Controlling Figure, Axes, and Artist Collections in Matplotlib",Level 2,55,Python_Data_Science
"L08: Advanced Multi-Panel Dashboards Layouts via Matplotlib GridSpec Projection Ensembles",Level 2,50,Python_Data_Science
"L09: Multi-Dimensional Polynomial Data Mapping and Vector Meshgrid Coordinate Generations",Level 2,60,Python_Data_Science
"L10: Mathematical Optimization: Unconstrained Non-Linear Minimization via SciPy Optimize L-BFGS-B Solvers",Level 3,65,Python_Data_Science
"L11: High-Performance Linear Algebra Solvers: Vectorized QR, LU, and Cholesky Matrix Inversions via SciPy Linalg",Level 3,60,Python_Data_Science
"L12: Continuous Probability Distribution Model Fitting and Parameter Likelihood Profiling via SciPy Stats",Level 3,70,Python_Data_Science
"L13: Automated Parametric Inferential Test Engines: Two-Sample Independent and Paired T-Tests via SciPy",Level 3,75,Python_Data_Science
"L14: Advanced Non-Parametric Distribution Testing: Kolmogorov-Smirnov and Mann-Whitney U Inferences",Level 3,80,Python_Data_Science
"L15: Columnar Memory Layouts: Constructing High-Performance Pandas Series Vectors and Index Alignments",Level 4,50,Python_Data_Science
"L16: Memory-Optimized DataFrame Partitions, Dynamic Row Slicing, and Vectorized Data Extraction Profiles",Level 4,55,Python_Data_Science
"L17: Explicit Index Mutators: Reindexing Arrays, Label Swapping, and Forward/Backward Value Propagation",Level 4,60,Python_Data_Science
"L18: Accelerated Custom Function Ingestions: Optimizing Vector Appliers via .apply, .map, and .transform Engine Hooks",Level 4,70,Python_Data_Science
"L19: Rolling, Expanding, and Exponentially Weighted Window Statistical Math Calculations across Time-Series",Level 5,65,Python_Data_Science
"L20: Strategic Missing Data Imputation Pipelines: Vectorized Masking, Forward-Fills, and Moving Average Recoveries",Level 5,70,Python_Data_Science
"L21: High-Cardinality Categorical Array Configurations: Dynamic Categorical Sorting and Sparse Object Types Memory Tuning",Level 5,75,Python_Data_Science
"L22: Native Pandas Visualization Engines and Backend Subplot Figure Configurations",Level 5,60,Python_Data_Science
"L23: High-Performance Multi-Column Sorting, Lexicographical Priorities, and In-Place Matrix Transformations",Level 5,65,Python_Data_Science
"L24: Closed-Form Ordinary Least Squares (OLS) Linear Regression Matrix Solvers from Scratch in Python",Level 6,80,Python_Data_Science
"L25: High-Dimensional Multiple Linear Regression Vectorized Coefficient Estimators and Prediction Inferences",Level 6,90,Python_Data_Science
"L26: Non-Linear Coordinate Transformations: Generating High-Order Vandermonde Arrays for Polynomial Regression Layers",Level 6,95,Python_Data_Science
"L27: Production-Grade Exception Environments: Architecting Custom Data-Pipeline Exception Classes and Assertion Loops",Level 6,70,Python_Data_Science
"L28: Dynamic Exception Handling Layers: Multi-Tiered Try-Except Block Chains and Context-Aware Error Recovery Daemons",Level 6,85,Python_Data_Science
"CAT: Mid-Term Mathematical Matrix Manipulation & Vectorized Data Transformation Sprint",Level 6,500,Python_Data_Science
"DA: End-to-End High-Dimensional Feature Engineering & Polynomial Regression Production Pipeline Optimization Challenge",Level 12,800,Python_Data_Science
"L01: Machine Learning Ecosystem Foundations & Bias-Variance Tradeoff Geometric Intuition",Level 1,30,Machine_Learning
"L02: Feature Matrix Construction, Target Variable Engineering & Train/Test Partition Mechanics",Level 1,35,Machine_Learning
"L03: Data Standardization, Normalization & Distribution Rescaling Transform Pipelines",Level 1,40,Machine_Learning
"L04: Missing Value Imputation Architectures: Mean, Median, KNN and Iterative Strategies",Level 2,45,Machine_Learning
"L05: Feature Engineering Operators: Polynomial Expansion, Interaction Terms & Log Transforms",Level 2,50,Machine_Learning
"L06: Cross-Validation Frameworks: Holdout, K-Fold and Stratified Sampling Mechanics",Level 2,55,Machine_Learning
"L07: Model Evaluation Metrics: Accuracy, Precision, Recall, F1 and ROC-AUC Formulations",Level 2,60,Machine_Learning
"L08: Loss Functions: MSE, MAE, Huber and Quantile Regression Optimization Landscapes",Level 3,60,Machine_Learning
"L09: Gradient Descent Optimization: Batch, Stochastic and Mini-Batch Update Rules",Level 3,65,Machine_Learning
