English,Tamil
Characteristic, பண்புக்கூறு
Characterize, சித்தரி / விவரி
Charcoal, மரக்கரி
Charge, கட்டணம் / குற்றச்சாட்டு / மின்மேற்றம்
Charity, தொண்டு / அறக்கட்டளை
Charm, கவர்ச்சி / தாயத்து
Charming, வசீகரமான
Chart, வரைபடம் / அட்டவணை
Charter, சாசனம் / ஒப்பந்தம்
Chase, துரத்து
Chasm, பிளவு / ஆழமான இடைவெளி
Chassis, சட்டகம் (வாகனத்தின்)
Chastity, கற்பு / தூய்மை
Chat, அரட்டை
Chatter, படபடவெனப் பேசு
Cheap, மலிவான
Cheat, ஏமாற்று
Check, சரிபார் / காசோலை
Check-in, செக்-இன் / நுழைவுப் பதிவு
Checklist, சரிபார்ப்புப் பட்டியல்
Checkpoint, சோதனைச் சாவடி
Cheek, கன்னம்
Cheer, உற்சாகப்படுத்து
Cheerful, மகிழ்ச்சியான
Cheerleader, உற்சாகப்படுத்தும் குழுவினர்
Cheese, பாலாடைக்கட்டி
Chef, சமையல்கலைஞர்
Chemical, ரசாயனம்
Chemist, வேதியியலாளர் / மருந்துக்கடைக்காரர்
Chemistry, வேதியியல்
Cheque, காசோலை
Cherish, நேசி / போற்று
Cherry, செர்ரி பழம்
Chess, சதுரங்கம்
Chest, மார்பு / பெட்டி
Chestnut, செஸ்நட் கொட்டை
Chew, மெல்லு
Chick, கோழிக்குஞ்சு
Chicken, கோழி
Chief, முதன்மை / தலைவர்
Chiefly, முக்கியமாக
Child, குழந்தை
Childhood, குழந்தைப்பருவம்
Childish, குழந்தைத்தனமான
Children, குழந்தைகள்
Chili, மிளகாய்
Chill, குளிர்
Chilly, குளிரான
Chime, மணி ஒலி
Chimney, புகைபோக்கி
Chin, தாடை
China, சீனா / சீனா களிமண் பாத்திரம்
Chip, சில்லு / துண்டு
Chirrup, பறவை கீச்சிடுதல்
Chivalry, வீரத்தன்மை
Chocolate, சாக்லேட்
Choice, தேர்வு / விருப்பம்
Choir, இசைக்குழு
Choke, மூச்சுத்திணறு
Cholesterol, கொழுப்பு
Choose, தேர்ந்தெடு
Chop, நறுக்கு
Chore, வீட்டு வேலை
Chorus, கூட்டுப் பாடல்
Chosen, தேர்ந்தெடுக்கப்பட்ட
Chronic, நாள்பட்ட
Chronicle, வரலாற்றுப் பதிவு
Chronological, காலவரிசைப்படியான
Chrysanthemum, சாமந்திப் பூ
Chubby, கொழுகொழுவென இருக்கும்
Chuck, தூக்கிப்போடு
Chuckle, மெதுவாகச் சிரி
Chung, மரக்கட்டை
Church, தேவாலயம்
Cider, ஆப்பிள் மது
Cigar, சுருட்டு
Cigarette, சிகரெட்
Cinder, தணல்
Cinema, சினிமா / திரைப்படம்
Cinnamon, இலவங்கப்பட்டை
Cipher, இரகசிய குறியீடு
Circle, வட்டம்
Circuit, மின்சுற்று / சுற்றுப்பாதை
Circular, வட்டவடிவ / சுற்றறிக்கை
Circulate, புழக்கத்தில் விடு / பரப்பு
Circulation, சுழற்சி
Circumstance, சூழ்நிலை
Circus, சர்க்கஸ்
Cite, மேற்கோள் காட்டு
Citizen, குடிமகன்
Citizenship, குடியுரிமை
City, நகரம்
Civic, நகர / குடிமை சார்ந்த
Civil, சிவில் / குடிமை
Civilian, பொதுமக்கள்
Civilization, நாகரிகம்
Civilize, நாகரிகப்படுத்து
Claim, உரிமை கோரு
Clairvoyant, தொலைநோக்குடையவர்
Clamor, கூச்சல்
Clamp, பிடிப்புக்கருவி
Clan, குலம் / இனம்
Clap, கைத்தட்டு
Clarify, தெளிவுபடுத்து
Clarity, தெளிவு
Clash, மோதல்
Clasp, பிடி / கொக்கி
Class, வகுப்பு / பிரிவு
Classic, பாரம்பரியமான / புகழ்பெற்ற
Classical, செம்மொழி சார்ந்த / கிளாசிக்கல்
Classification, வகைப்பாடு
Classify, வகைப்படுத்து
Classmate, வகுப்புத் தோழன்
Classroom, வகுப்பறை
Clause, சரத்து / சொற்றொடர்
Claw, நகம் / தண்டு
Clay, களிமண்
Clean, சுத்தமான / சுத்தம் செய்
Cleaner, துப்புரவாளர்
Cleaning, சுத்தம் செய்தல்
Cleanliness, சுகாதாரம் / சுத்தம்
Clear, தெளிவான
Clearance, அனுமதி / சுத்தம் செய்தல்
Clearly, தெளிவாக
Cleave, பிள / வெட்டு
Clement, கருணையுள்ள / மிதமான
Clergy, மதகுருமார்கள்
Clergyman, மதகுரு
Clerical, எழுத்தர் சார்ந்த
Clerk, எழுத்தர்
Clever, கெட்டிக்கார
Click, கிளிக் செய் / சொடுக்கு
Client, வாடிக்கையாளர்
Cliff, செங்குத்தான பாறை
Climate, தட்பவெப்பநிலை
Climatic, தட்பவெப்ப சார்ந்த
Climax, உச்சக்கட்டம்
Climb, ஏறு
Climber, மலையேறுபவர்
Clinch, உறுதிசெய் / பிடி
Clinic, கிளினிக் / மருத்துவமனை
Clinical, கிளினிக்கல் / மருத்துவ ரீதியான
Clip, கிளிப் / வெட்டு
Cloak, மேலங்கி
Clock, கடிகாரம்
Clockwise, கடிகாரச்சுற்று திசையில்
Clog, அடைப்பு
Clone, க்ளோன் / நகல்
Close, மூடு / நெருங்கிய
Closed, மூடப்பட்ட
Closely, நெருக்கமாக
Closet, அலமாரி
Closing, முடிவு / மூடுதல்
Closure, முடிவு / மூடல்
Cloth, துணி
Clothe, ஆடை அணிவி
Clothes, ஆடைகள்
Clothing, உடை
Cloud, மேகம்
Cloudy, மேகமூட்டமான
Clove, கிராம்பு
Clown, கோமாளி
Club, மன்றம் / தடி
Clue, துப்பு / குறிப்பு
Clumsy, திறமையற்ற / தاشیவான
Cluster, கொத்து / கூட்டம்
Clutch, பிடி / கிளட்ச்
Coach, பயிற்றுவிப்பாளர் / பேருந்து
Coaching, பயிற்சி
Coal, நிலக்கரி
Coalition, கூட்டணி
Coarse, கரடுமுரடான
Coast, கடற்கரை
Coastal, கடலோர
Coat, கோட் / மேலங்கி
Coating, பூச்சு
Cobbler, செருப்பு தைப்பவர்
Cobra, நல்லபாம்பு
Cobweb, சிலந்தி வலை
Cocaine, கொக்கைன் போதைப்பொருள்
Cock, சேவல்
Cockpit, விமானி அறை
Cockroach, கரப்பான் பூச்சி
Cocktail, கலப்பு பானம்
Cocoa, கோகோ
Coconut, தேங்காய்
Cocoon, கூ his / கூட்டுப்புழு கூடு
Code, குறியீடு / சட்டம்
Codify, முறைப்படுத்து
Coerce, வற்புறுத்து
Coercion, கட்டாயப்படுத்துதல்
Coffee, காபி
Coffer, கருவூலம் / பெட்டி
Coffin, சவப்பெட்டி
Cognitive, அறிவாற்றல் சார்ந்த
Coherent, coherent / தெளிவான
Cohesion, பிணைப்பு
Coil, சுருள்
Coin, நாணயம்
Coinage, நாணய முறை
Coincide, ஒத்துப்போ
Coincidence, தற்செயல் நிகழ்வு
Cold, குளிர் / சளி
Coldness, குளிர்ச்சி
Collaborate, இணைந்து செயல்படு
Collaboration, ஒத்துழைப்பு
Collaborative, கூட்டுச் செயல்பாடு சார்ந்த
Collapse, சரிவு / நொறுங்கு
Collar, காலர் / கழுத்துப்பட்டை
Colleague, சக ஊழியர்
Collect, சேகரி
Collection, சேகரிப்பு
Collective, கூட்டு
Collector, ஆட்சியர் / சேகரிப்பாளர்
College, கல்லூரி
Collision, மோதல்
Colloquial, பேச்சுவழக்கு சார்ந்த
Colon, பெருங்குடல் / முக்கற்புள்ளி
Colonel, கர்னல் (இராணுவப் பதவி)
Colonial, காலனித்துவ
Colony, காலனி / குடியிருப்பு
Color, வண்ணம் / நிறம்
Colorful, வண்ணமயமான
Colossal, பிரம்மாண்டமான
Colt, குதிரைக்குட்டி
Column, தூண் / பத்தி
Columnist, பத்தியாளர்
Coma, கோமா / சுயநினைவின்மை
Comb, சீப்பு
Combat, போர் / சண்டை
Combination, சேர்க்கை
Combine, இணை
Combined, இணைக்கப்பட்ட
Combustion, எரிதல்
Come, வா
Comedian, நகைச்சுவை நடிகர்
Comedy, நகைச்சுவை
Comet, வால்நட்சத்திரம்
Comfort, ஆறுதல் / வசதி
Comfortable, வசதியான
Comfortably, வசதியாக
Comic, நகைச்சுவையான
Comical, வேடிக்கையான
Coming, வருகை
Comma, காற்புள்ளி
Command, கட்டளை
Commander, தளபதி
Commandment, கட்டளை
Commemorate, நினைவுகூரு
Commence, தொடங்கு
Commend, பாராட்டு
Comment, கருத்து
Commentary, வர்ணனை
Commentator, வர்ணனையாளர்
Commerce, வணிகம்
Commercial, வணிக ரீதியான
Commit, வாக்குறுதி அளி / குற்றம் செய்
Commitment, அர்ப்பணிப்பு / வாக்குறுதி
Committed, அர்ப்பணிப்புள்ள
Committee, குழு
Commodity, பொருள் / பண்டம்
Common, பொதுவான
Commonly, பொதுவாக
Commonplace, சாதாரண
Commonwealth, காமன்வெல்த்
Commotion, சலசலப்பு
Communal, சமூக சார்ந்த
Communicate, தொடர்பு கொள்
Communication, தகவல் தொடர்பு
Communion, ஒன்றிணைப்பு / நற்கருணை
Communism, கம்யூனிசம்
Communist, கம்யூனிஸ்ட்
Community, சமூகம்
Commute, பயணம் செய் (வேலைக்கு)
Commuter, பயணியர்
Compact, சிறிய / அடர்த்தியான
Companion, தோழன்
Companionship, தோழமை
Company, நிறுவனம் / தோழமை
Comparable, ஒப்பிடக்கூடிய
Comparative, ஒப்பீட்டு
Compare, ஒப்பிடு
Comparison, ஒப்பீடு
Compartment, அறை / பெட்டி
Compass, திசைகாட்டி
Compassion, இரக்கம்
Compassionate, கருணையுள்ள
Compatibility, இணக்கம்
Compatible, இணக்கமான
Compel, வற்புறுத்து
Compelling, ஈர்க்கக்கூடிய / வலுவான
Compensate, இழப்பீடு வழங்கு
Compensation, இழப்பீடு
Compete, போட்டியிடு
Competence, தகுதி / திறன்
Competent, திறமையான
Competition, போட்டி
Competitive, போட்டித்தன்மை கொண்ட
Competitor, போட்டியாளர்
Compilation, தொகுப்பு
Compile, தொகு
Complacent, சுயதிருப்தி கொண்ட
Complain, புகார் செய்
Complaint, புகார்
Complement, நிரப்பு
Complementary, நிரப்பியாக அமைந்த
Complete, முழுமையான / முடி
Completely, முற்றிலும்
Completion, நிறைவு
Complex, சிக்கலான
Complexity, சிக்கல்
Compliance, இணக்கம்
Complicate, சிக்கலாக்கு
Complicated, சிக்கலான
Complication, சிக்கல்
Complicity, உடந்தை
Compliment, பாராட்டு
Comply, கீழ்ப்படி / இணங்கு
Component, கூறு / பகுதி
Compose, உருவாக்கு / இசையமை
Composer, இசையமைப்பாளர்
Composite, கலவை
Composition, அமைப்பு / கட்டுரை / இசை
Compost, உரம்
Composure, மன அமைதி
Compound, கூட்டுப்பொருள் / வளாகம்
Comprehend, புரிந்துகொள்
Comprehension, புரிதல்
Comprehensive, விரிவான
Compress, அமுக்கு
Compression, அமுக்கம்
Comprise, உள்ளடக்கியது
Compromise, சமரசம்
Compulsion, கட்டாயம்
Compulsory, கட்டாயமான
Compute, கணக்கிடு
Computer, கணினி
Computing, கணினியியல்
Comrade, தோழர்
Conceal, மறை
Concede, ஒப்புக்கொள்
Conceit, அகந்தை
Conceive, கற்பனை செய் / கருவுறு
Concentrate, கவனம் செலுத்து
Concentration, கவனம்
Concept, கருத்துரு
Conception, கருத்து / கருத்தரித்தல்
Concern, கவலை / தொடர்பு
Concerned, கவலையடைந்த
Concerning, பற்றிய
Concert, இசை நிகழ்ச்சி
Concession, சலுகை
Concise, சுருக்கமான
Conclude, முடிவுக்கு வா
Conclusion, முடிவு
Conclusive, தீர்க்கமான
Concrete, சிமெண்ட் தளம் / உறுதியான
Concur, உடன்படு
Concurrent, ஒரே நேரத்தில் நிகழும்
Concussion, அதிர்ச்சி
Condemn, கண்டி
Condemnation, கண்டனம்
Condensed, சுருக்கப்பட்ட
Condition, நிபந்தனை / நிலை
Conditional, நிபந்தனைக்குட்பட்ட
Conditioner, கண்டிஷனர்
Condolence, இரங்கல்
Condone, மன்னித்து விடு
Conduct, நடத்து / நடத்தை
Conductor, நடத்துனர்
Cone, கூம்பு
Confederation, கூட்டமைப்பு
Confer, வழங்கு / ஆலோசி
Conference, மாநாடு
Confess, ஒப்புக்கொள் (குற்றத்தை)
Confession, வாக்குமூலம்
Confetti, காகிதத் தூவல்கள்
Confidant, நம்பிக்கைக்குரிய தோழன்
Confidence, நம்பிக்கை
Confident, நம்பிக்கையுள்ள
Confidential, இரகசியமான
Configuration, கட்டமைப்பு
Confine, கட்டுப்படுத்து / சிறைவை
Confinement, சிறைவைப்பு
Confirm, உறுதிப்படுத்து
Confirmation, உறுதிப்படுத்தல்
Confiscate, பறிமுதல் செய்
Conflict, மோதல்
Conform, இணங்கி நட
Conformity, இணக்கம்
Confound, குழப்பமடையச் செய்
Confront, எதிர் கொள்
Confrontation, மோதல்
Confuse, குழப்பு
Confusion, குழப்பம்
Congenial, இணக்கமான
Congestion, நெரிசல்
Congratulate, வாழ்த்து
Congratulation, வாழ்த்து
Congregation, சபை / கூட்டம்
Congress, காங்கிரஸ் / மாநாடு
Congressional, காங்கிரஸ் சார்ந்த
Conical, கூம்பு வடிவ
Conjecture, யூகிக்கப்பட்ட கருத்து
Conjunction, இணைப்புச் சொல்
Connect, இணை
Connection, இணைப்பு
Connectivity, இணைப்புத்தன்மை
Connive, உடந்தையாக இரு
Conquer, வெல்
Conqueror, வெற்றியாளன்
Conquest, வெற்றி
Conscience, மனசாட்சி
Conscientious, நேர்மையான
Conscious, நினைவோடு இருக்கும்
Consciousness, விழிப்புணர்வு / நினைவு
Consecutive, தொடர்ச்சியான
Consensus, பொதுக்கருத்து
Consent, சம்மதம்
Consequence, பின்விளைவு
Consequently, அதன் விளைவாக
Conservation, பாதுகாப்பு
Conservative, பழமைவாத
Conserve, பாதுகாப்பது
Consider, பரிசீலி
Considerable, கணிசமான
Considerably, கணிசமாக
Consideration, பரிசீலனை
Consist, கொண்டுள்ளது
Consistency, சீரமைப்பு / நிலைத்தன்மை
Consistent, சீரான
Consistently, தொடர்ச்சியாக
Console, ஆறுதல் கூறு / கட்டுப்பாட்டுப் பலகை
Consolidate, ஒருங்கிணை
Consolidation, ஒருங்கிணைப்பு
Consonant, மெய்யெழுத்து
Consortium, கூட்டமைப்பு
Conspicuous, வெளிப்படையான
Conspiracy, சதி
Conspirator, சதியாளன்
Conspire, சதி செய்
Constant, நிலையான
Constantly, எப்போதும்
Constellation, நட்சத்திரக் கூட்டம்
Consternation, திகில் / பேரதிர்ச்சி
Constipation, மலச்சிக்கல்
Constituent, தொகுதிவாசி / கூறு
Constitute, உருவாக்குகிறது
Constitution, அரசியலமைப்பு
Constitutional, அரசியலமைப்பு சார்ந்த
Constraint, கட்டுப்பாடு
Construct, கட்டு
Construction, கட்டுமானம்
Constructive, ஆக்கப்பூர்வமான
Consult, ஆலோசி
Consultant, ஆலோசகர்
Consultation, ஆலோசனை
Consume, நுகர் / சாப்பிடு
Consumer, நுகர்வோர்
Consumption, நுகர்வு
Contact, தொடர்பு
Contagious, தொற்றும்
Contain, உள்ளடக்கியது
Container, கொள்கலன்
Contaminate, மாசடையச் செய்
Contamination, மாசுபாடு
Contemplate, ஆழமாகச் சிந்தி
Contemporary, சமகால
Contempt, அவமதிப்பு
Contend, போட்டியிடு / வாதிடு
Content, உள்ளடக்கம் / திருப்தியான
Contented, திருப்தியடைந்த
Contention, விவாதம் / மோதல்
Contentment, மனநிறைவு
Contest, போட்டி
Contestant, போட்டியாளர்
Context, சூழல்
Continent, கண்டம்
Continental, கண்டம் சார்ந்த
Contingency, அவசரகால நிலை
Continual, தொடர்ச்சியான
Continue, தொடர்
Continued, தொடர்ந்த
Continuity, தொடர்ச்சி
Continuous, இடைவிடாத
Continuously, இடைவிடாமல்
Contort, கோணலாக்கு
Contour, எல்லைக்கோடு
Contract, ஒப்பந்தம்
Contractor, ஒப்பந்ததாரர்
Contradict, முரண்படு
Contradiction, முரண்பாடு
Contradictory, முரண்பாடான
Contrary, மாறாக
Contrast, வேறுபாடு
Contribute, பங்களிப்பு செய்
Contribution, பங்களிப்பு
Contributor, பங்களிப்பாளர்
Contrive, திட்டம் தீட்டு
Control, கட்டுப்பாடு
Controller, கட்டுப்பாட்டாளர்
Controversial, சர்ச்சைக்கிரிய
Controversy, சர்ச்சை
Convene, கூட்டு (கூட்டம்)
Convenience, வசதி
Convenient, வசதியான
Convent, கன்னியாஸ்திரிகள் மடம்
Convention, மாநாடு / மரபு
Conventional, வழக்கமான
Converge, ஒன்றுகூடு
Conversation, உரையாடல்
Conversely, மாறாக
Conversion, மாற்றம்
Convert, மாற்று
Converter, மாற்றி
Convey, தெரிவி / கொண்டு செல்
Conveyance, போக்குவரத்து
Convict, குற்றவாளி
Conviction, நம்பிக்கை / தண்டனை
Convince, சமாதானப்படுத்து / நம்பவை
Convincing, நம்பத்தகுந்த
Convoy, பாதுகாப்புப் படைக்கலன்
Cook, சமை / சமையல்காரர்
Cookbook, சமையல் புத்தகம்
Cooker, குக்கர்
Cookie, பிஸ்கட் / குக்கி
Cooking, சமையல்
Cool, குளிர்ந்த / அமைதியான
Cooler, குளிரூட்டி
Coolness, குளிர்ச்சி
Cooperate, ஒத்துழை
Cooperation, ஒத்துழைப்பு
Cooperative, கூட்டுறவு
Coordinate, ஒருங்கிணை
Coordination, ஒருங்கிணைப்பு
Coordinator, ஒருங்கிணைப்பாளர்
Cope, சமாளி
Copier, நகல் எடுக்கும் கருவி
Copious, ஏராளமான
Copper, செம்பு
Copy, நகல்
Copyright, பதிப்புரிமை
Coral, பவளம்
Cord, கயிறு
Cordial, அன்பான
Core, மையம் / முக்கியப் பகுதி
Coriander, கொத்தமல்லி
Cork, கார்க் / அடைப்பான்
Corn, சோளம்
Corner, மூலை
Coronary, இதயம் சார்ந்த
Coronation, முடிசூட்டு விழா
Corporal, உடலார்ந்த
Corporate, பெருநிறுவனம் சார்ந்த
Corporation, மாநகராட்சி / நிறுவனம்
Corps, படைப்பிரிவு
Corpse, பிணம்
Correct, சரியான
Correction, திருத்தம்
Correctly, சரியாக
Correlation, தொடர்பு
Correspond, ஒத்துப்போ / தொடர்புகொள்
Correspondence, கடிதப் போக்குவரத்து
Respondent, நிருபர்
Corridor, நடைபாதை
Corroborate, உறுதிப்படுத்து
Corrode, அரித்தல்
Corrosion, அரிப்பு
Corrupt, ஊழல் நிறைந்த
Corruption, ஊழல்
Cosmetic, அழகு சாதனம்
Cosmic, பிரபஞ்ச
Cosmopolitan, உலகளாவிய
Cosmos, பிரபஞ்சம்
Cost, செலவு / விலை
Costly, விலைமதிப்பற்ற / விலையுயர்ந்த
Costume, ஆடை
Cottage, குடில்
Cotton, பருத்தி
Couch, சோபா
Cough, இருமல்
Could, முடிந்தது
Council, மன்றம்
Councilor, மன்ற உறுப்பினர்
Counsel, ஆலோசனை
Counselor, ஆலோசகர்
Count, எண்ணு
Countable, எண்ணக்கூடிய
Counter, கவுண்டர் / எதிர்
Counteract, எதிர்த்துச் செயல்படு
Counterfeit, போலி
Counterpart, இணை அதிகாரி
Countless, எண்ணற்ற
Country, நாடு
Countryside, கிராமப்புறம்
County, மாவட்டம்
Coup, ஆட்சி கவிழ்ப்பு
Couple, தம்பதி / ஜோடி
Coupon, கூப்பன்
Courage, தைரியம்
Courageous, தைரியமான
Courier, தூதஞ்சல்
Course, පාடநெறி / பாதை
Court, நீதிமன்றம் / ஆடுகளம்
Courteous, மரியாதையுள்ள
Courtesy, மரியாதை
Courtyard, முற்றம்
Cousin, ஒன்றுவிட்ட சகோதரன்/சகோதரி
Cove, சிறிய வளைகுடா
Covenant, உடன்படிக்கை
Cover, மூடு / உறை
Coverage, تغطية / செய்தி பரப்பு
Covert, ரகசியமான
Covet, ஆசைப்படு
Cow, பசு
Coward, கோழை
Cowardice, கோழைத்தனம்
Cowboy, மேய்ப்பன்
Cozy, கதகதப்பான / வசதியான
Crab, நண்டு
Crack, பிளவு / வெடிப்பு
Cradle, தொட்டில்
Craft, கைவினை / கலை
Craftsman, கைவினைஞர்
Crafty, தந்திரமான
Cram, திணி
Crammed, நெரிசலான
Cramp, தசைப்பிடிப்பு
Crane, கொக்கு / கிரேன்
Crash, விபத்து / நொறுங்கு
Crater, பள்ளம்
Crave, ஏங்கு
Crawl, தவழ்
Crayon, வண்ணக் பென்சில்
Crazy, பைத்தியக்காரத்தனமான
Creak, கீச் ஒலி
Cream, க்ரீம் / பாலேடு
Creamy, க்ரீம் போன்ற
Create, உருவாக்கு
Creation, உருவாக்கம்
Creative, படைப்பாற்றல் உள்ள
Creativity, படைப்பாற்றல்
Creator, படைப்பாளி
Creature, ജീவி / உயிரினம்
Credibility, நம்பகத்தன்மை
Credible, நம்பத்தகுந்த
Credit, கடன் / மதிப்பு
Creditor, கடன் அளித்தவர்
Creed, நம்பிக்கை / மதம்
Creek, சிற்றாறு
Creep, ஊர்ந்து செல்
Cremate, தகனம் செய்
Cremation, மயானத் தகனம்
Crescendo, உச்ச ஒலி
Crescent, பிறை
Crest, உச்சி
Crew, குழு / ஊழியர்கள்
Cricket, கிரிக்கெட் / சில்வண்டு
Crime, குற்றம்
Criminal, குற்றவாளி
Crimson, கருஞ்சிவப்பு
Cripple, முடமாக்கு
Crisis, நெருக்கடி
Crisp, மொறுமொறுப்பான
Criteria, அளவுகோல்கள்
Criterion, அளவுகோல்
Critic, விமர்சகர்
Critical, முக்கியமான / விமர்சன
Criticism, விமர்சனம்
Criticize, விமர்சி
Critique, விமர்சனக் கட்டுரை
Crocodile, முதலை
Crook, ஏமாற்றுக்காரன் / வளைவு
Crooked, கோணலான
Crop, பயிர்
Cross, குறுக்கே கட / சிலுவை
Crossing, கடக்கும் இடம்
Crossroad, நாற்சந்தி
Crossword, குறுக்கெழுத்து புதிர்
Crouch, குனிந்து உட்கார்
Crow, காகம்
Crowd, கூட்டம்
Crowded, கூட்ட நெரிசலான
Crown, கிரீடம்
Crucial, மிகவும் முக்கியமான
Crucible, புடக்குஹை / சோதனைக்களம்
Crude, கச்சா / கரடுமுரடான
Cruel, கொடூரமான
Cruelty, கொடுமை
Cruise, சொகுசுக் கப்பல் பயணம்
Crumb, ரொட்டித் துண்டு
Crumble, நொறுங்கு
Crumple, நசுக்கு
Crunch, மொறுமொறுப்பு / நெருக்கடி
Crusade, அறப்போர்
Crush, நசுக்கு
Crust, மேலோடு
Crutch, ஊன்றுகோல்
Cry, அழு / கத்து
Crying, அழுகை
Crypt, நிலத்தடி அறை
Crystal, படிகம்
Cub, குட்டி (விலங்கின்)
Cube, கனசதுரம்
Cubic, கனஅளவு
Cuckoo, குயில்
Cucumber, வெள்ளரிக்காய்
Cuddle, கட்டிப்பிடி
Cue, குறிப்பு / சமிக்ஞை
Cuff, சட்டைக் கைமுனை
Cuisine, சமையல்முறை
Culprit, குற்றவாளி
Cult, வழிபாட்டு முறை
Cultivate, பயிரிடு
Cultivation, விவசாயம் / சாகுபடி
Cultural, கலாச்சார
Culture, கலாச்சாரம்
Culvert, மதகு
Cumbersome, பாரமான / சிரமமான
Cumulative, திரண்ட
Cunning, தந்திரமான
Cup, கோப்பை
Cupboard, அலமாரி
Curb, கட்டுப்படுத்து
Cure, குணப்படுத்து
Curiosity, ஆர்வம்
Curious, ஆர்வமுள்ள
Curl, சுருள்
Curly, சுருட்டையான
Currency, நாணயம் / பணம்
Current, தற்போதைய / நீரோட்டம் / மின்சாரம்
Currently, தற்போது
Curriculum, பாடத்திட்டம்
Curry, கறி
Curse, சாபம்
Cursor, கர்சர்
Curtail, குறை
Curtain, திரைச்சீலை
Curvature, வளைவு
Curve, வளைவு
Curved, வளைந்த
Cushion, மெத்தை
Custody, காவல் / பாதுகாப்பு
Custom, வழக்கம் / சுங்கம்
Customary, வழக்கமான
Customer, வாடிக்கையாளர்
Customs, சுங்கத்துறை
Cut, வெட்டு
Cute, அழகான
Cutlery, கத்தி கரண்டி பொருட்கள்
Cutting, வெட்டுதல்
Cyber, இணையம் சார்ந்த
Cycle, சுழற்சி / மிதிவண்டி
Cycling, மிதிவண்டி ஓட்டுதல்
Cyclone, புயல்
Cylinder, உருளை / சிலிண்டர்
Cylindrical, உருளை வடிவ
Cynical, எதிர்மறை எண்ணமுள்ள
Cynicism, நம்பிக்கை இன்மை
Here is the continuation of the dictionary for the letter **D**:
Dab, லேசாகத் தொடு
Dagger, பாக்கி / குத்துவாள்
Daily, தினசரி
Dainty, நளினமான
Dairy, பால் பண்ணை
Daisy, டெய்ஸி மலர்
Dam, அணை
Damage, சேதம்
Damages, நஷ்டஈடு
Dame, அம்மையார்
Damp, ஈரமான
Dance, நடனம்
Dancer, நடனக் கலைஞர்
Dancing, நடனம் ஆடுதல்
Dandelion, மஞ்சள் பூச்செடி
Dandruff, பொடுகு
Danger, ஆபத்து
Dangerous, ஆபத்தான
Dangle, தொங்கு
Dare, தைரியமாக இரு / சவால் விடு
Daring, துணிச்சலான
Dark, இருண்ட / கருமையான
Darkness, இருள்
Darling, அன்பே / செல்லமே
Darn, தை / பிழைதிருத்து
Dart, எறிவேல் / பாய்ந்து செல்
Dash, விரை / கோடு
Dashboard, கட்டுப்பாட்டுப் பலகை
Data, தரவு
Database, தரவுத்தளம்
Date, தேதி / பேரீச்சம்பழம்
Dating, காப்பகம் / சந்திப்பு
Daughter, மகள்
Daunt, பயமுறுத்து
Dauntless, அஞ்சாத
Dawn, விடியல்
Day, நாள்
Daybreak, அதிகாலை
Daylight, பகலொளி
Daytime, பகல் நேரம்
Daze, மயக்கம்
Dazzle, கண்ச his / கூசச்செய்
Deacon, உதவி மதகுரு
Dead, இறந்த
Deadline, கடைசி நேரம்
Deadly, கொடிய
Deaf, செவிடு
Deafness, செவித்திறனின்மை
Deal, ஒப்பந்தம் / கையாளு
Dealer, வியாபாரி
Dealings, தொடர்புகள்
Dean, முதல்வர்
Dear, அன்பான / விலையுயர்ந்த
Dearly, ஆழமாக
Death, இறப்பு / மரணம்
Debate, விவாதம்
Debator, விவாதிப்பவர்
Debatably, விவாதத்திற்குரியதாக
Debilitate, பலவீனப்படுத்து
Debris, இடிபாடுகள்
Debt, கடன்
Debtor, கடன் பெற்றவர்
Debut, அரங்கேற்றம் / முதல் அறிமுகம்
Decade, தசாப்தம் (10 ஆண்டுகள்)
Decadence, சீரழிவு
Decapitate, தலைதுண்டி
Decay, சிதைவு / அழுகல்
Decease, இறப்பு
Deceased, மறைந்த
Deceit, ஏமாற்று வேலை
Deceive, ஏமாற்று
December, டிசம்பர்
Decency, கண்ணியம்
Decent, கண்ணியமான
Deception, ஏமாற்றுதல்
Deceptive, ஏமாற்றக்கூடிய
Decide, தீர்மானி
Decidedly, நிச்சயமாக
Decimal, தசமம்
Decision, முடிவு
Decisive, தீர்க்கமான
Deck, தளம் / தளமேடை
Declaration, பிரகடனம்
Declare, அறிவி
Decline, சரிவு / நிராகரி
Decode, குறியீட்டைப் பிரி
Decompose, மக்கிப்போ
Decomposition, சிதைவு
Decor, அலங்காரம்
Decorate, அலங்கரி
Decoration, அலங்காரம்
Decorative, அலங்காரமான
Decorum, கண்ணியம்
Decoy, ஆசைக்காட்டி மயக்கும் பொருள்
Decrease, குறை
Decree, ஆணை / தீர்ப்பு
Decrepit, தளர்ந்த / பழமையான
Dedicate, அர்ப்பணி
Dedicated, அர்ப்பணிக்கப்பட்ட
Dedication, அர்ப்பணிப்பு
Deduce, கணி / அனுமானி
Deduct, கழி
Deduction, கழித்தல் / அனுமானம்
Deed, செயல் / பத்திரப் பதிவு
Deem, கருது
Deep, ஆழமான
Deeply, ஆழமாக
Deface, சேதப்படுத்து
Defame, அவதூறு செய்
Defamation, அவதூறு
Default, இயல்புநிலை / தவறுகை
Defeat, தோல்வி / தோற்கடி
Defect, குறைபாடு
Defection, கட்சி மாறுதல்
Defective, குறைபாடுள்ள
Defence, பாதுகாப்பு
Defend, தற்காத்துக்கொள்
